date,ticker,action,price,quantity,commission,strategy,zscore
2024-05-21,MHK,BUY,146.71,1,0.073355,mean_reversion,-1386.891944333317
2024-05-22,LEVI,BUY,18.99,1,0.009495,mean_reversion,-1381.7178144844995
2024-05-22,MHK,SELL,146.42,1,0.07321,mean_reversion,-1381.7178144844995
2024-05-23,LEVI,SELL,19.36,1,0.00968,mean_reversion,-1410.2305725875572
2024-05-23,MHK,BUY,149.38,1,0.0746899999999999,mean_reversion,-1410.2305725875572
2024-05-24,LEVI,BUY,18.98,1,0.00949,mean_reversion,-1397.4603797691996
2024-05-24,MHK,SELL,147.84,1,0.07392,mean_reversion,-1397.4603797691996
2024-05-27,LEVI,SELL,19.29,1,0.0096449999999999,mean_reversion,-1421.349447369059
2024-05-27,MHK,BUY,150.32,1,0.07516,mean_reversion,-1421.349447369059
2024-05-28,LEVI,BUY,18.94,1,0.00947,mean_reversion,-1420.3586565469448
2024-05-28,MHK,SELL,149.88,1,0.0749399999999999,mean_reversion,-1420.3586565469448
2024-05-29,LEVI,SELL,19.5,1,0.00975,mean_reversion,-1500.8328888764245
2024-05-29,MHK,BUY,157.75,1,0.078875,mean_reversion,-1500.8328888764245
2024-05-30,LEVI,BUY,18.99,1,0.009495,mean_reversion,-1477.6043484913075
2024-05-30,MHK,SELL,155.13,1,0.077565,mean_reversion,-1477.6043484913075
2024-05-31,LEVI,SELL,19.3,1,0.00965,mean_reversion,-1462.5223104213503
2024-05-31,MHK,BUY,154.07,1,0.0770349999999999,mean_reversion,-1462.5223104213503
2024-06-03,LEVI,BUY,18.82,1,0.00941,mean_reversion,-1472.9806579881092
2024-06-03,MHK,SELL,154.54,1,0.0772699999999999,mean_reversion,-1472.9806579881092
2024-06-04,LEVI,SELL,19.04,1,0.0095199999999999,mean_reversion,-1461.0911681227417
2024-06-04,MHK,BUY,153.68,1,0.07684,mean_reversion,-1461.0911681227417
2024-06-05,LEVI,BUY,19.27,1,0.009635,mean_reversion,-1474.6319760249658
2024-06-05,MHK,SELL,155.14,1,0.07757,mean_reversion,-1474.6319760249658
2024-06-06,LEVI,SELL,19.2,1,0.0096,mean_reversion,-1428.0648073856091
2024-06-06,MHK,BUY,150.84,1,0.07542,mean_reversion,-1428.0648073856091
2024-06-07,LEVI,BUY,19.08,1,0.00954,mean_reversion,-1427.0740165634952
2024-06-07,MHK,SELL,150.63,1,0.075315,mean_reversion,-1427.0740165634952
2024-06-10,LEVI,SELL,18.83,1,0.009415,mean_reversion,-1408.909518158072
2024-06-10,MHK,BUY,148.73,1,0.074365,mean_reversion,-1408.909518158072
2024-06-11,LEVI,BUY,18.61,1,0.009305,mean_reversion,-1402.4143338797694
2024-06-11,MHK,SELL,147.92,1,0.07396,mean_reversion,-1402.4143338797694
2024-06-12,LEVI,SELL,18.83,1,0.009415,mean_reversion,-1413.4231207921468
2024-06-12,MHK,BUY,149.14,1,0.07457,mean_reversion,-1413.4231207921468
2024-06-13,LEVI,BUY,19.23,1,0.009615,mean_reversion,-1416.945932604108
2024-06-13,MHK,SELL,149.86,1,0.07493,mean_reversion,-1416.945932604108
2024-06-14,LEVI,SELL,19.29,1,0.0096449999999999,mean_reversion,-1399.9924007590464
2024-06-14,MHK,BUY,148.38,1,0.07419,mean_reversion,-1399.9924007590464
2024-06-17,LEVI,BUY,19.24,1,0.00962,mean_reversion,-1419.257777855707
2024-06-17,MHK,SELL,150.08,1,0.07504,mean_reversion,-1419.257777855707
2024-06-18,LEVI,SELL,19.93,1,0.009965,mean_reversion,-1482.8885662092491
2024-06-18,MHK,BUY,156.55,1,0.078275,mean_reversion,-1482.8885662092491
2024-06-19,LEVI,BUY,19.48,1,0.00974,mean_reversion,-1479.8061058737835
2024-06-19,MHK,SELL,155.82,1,0.07791,mean_reversion,-1479.8061058737835
2024-06-20,LEVI,SELL,19.7,1,0.00985,mean_reversion,-1467.806528139292
2024-06-20,MHK,BUY,154.95,1,0.077475,mean_reversion,-1467.806528139292
2024-06-21,LEVI,SELL,19.78,1,0.00989,trend_following,-1485.2004114608485
2024-06-21,MHK,BUY,156.61,1,0.078305,trend_following,-1485.2004114608485
2024-06-24,LEVI,BUY,19.92,1,0.00996,trend_following,-1500.8328888764245
2024-06-24,MHK,SELL,158.17,1,0.0790849999999999,trend_following,-1500.8328888764245
2024-06-25,LEVI,BUY,20.16,1,0.01008,mean_reversion,-1491.9157714773987
2024-06-25,MHK,SELL,157.6,1,0.0788,mean_reversion,-1491.9157714773987
2024-06-26,LEVI,SELL,20.42,1,0.01021,mean_reversion,-1492.4662108230175
2024-06-26,MHK,BUY,157.91,1,0.078955,mean_reversion,-1492.4662108230175
2024-06-27,LEVI,BUY,20.68,1,0.01034,mean_reversion,-1480.466633088526
2024-06-27,MHK,SELL,157.08,1,0.07854,mean_reversion,-1480.466633088526
2024-06-28,LEVI,SELL,20.88,1,0.01044,mean_reversion,-1448.1007995661362
2024-06-28,MHK,BUY,154.34,1,0.07717,mean_reversion,-1448.1007995661362
2024-07-01,LEVI,BUY,21.46,1,0.01073,trend_following,-1465.4946828876923
2024-07-01,MHK,SELL,156.5,1,0.07825,trend_following,-1465.4946828876923
2024-07-08,LEVI,SELL,19.44,1,0.00972,trend_following,-1509.7500062754502
2024-07-08,MHK,BUY,158.5,1,0.07925,trend_following,-1509.7500062754502
2024-07-09,LEVI,SELL,19.82,1,0.00991,trend_following,-1460.870992384494
2024-07-09,MHK,BUY,154.44,1,0.07722,trend_following,-1460.870992384494
2024-07-16,LEVI,BUY,19.14,1,0.00957,trend_following,-1499.8420980543108
2024-07-16,MHK,SELL,157.3,1,0.07865,trend_following,-1499.8420980543108
2024-07-17,LEVI,BUY,19.04,1,0.0095199999999999,mean_reversion,-1510.6307092284403
2024-07-17,MHK,SELL,158.18,1,0.07909,mean_reversion,-1510.6307092284403
2024-07-18,LEVI,SELL,19.32,1,0.00966,mean_reversion,-1525.9329230366452
2024-07-18,MHK,BUY,159.85,1,0.079925,mean_reversion,-1525.9329230366452
2024-07-19,LEVI,BUY,18.74,1,0.00937,mean_reversion,-1544.5377729185632
2024-07-19,MHK,SELL,160.96,1,0.08048,mean_reversion,-1544.5377729185632
2024-07-22,LEVI,SELL,18.51,1,0.009255,mean_reversion,-1527.6943289426256
2024-07-22,MHK,BUY,159.2,1,0.0795999999999999,mean_reversion,-1527.6943289426256
2024-07-23,LEVI,BUY,18.66,1,0.00933,mean_reversion,-1546.4092666936676
2024-07-23,MHK,SELL,161.05,1,0.080525,mean_reversion,-1546.4092666936676
2024-07-24,LEVI,SELL,18.65,1,0.009325,mean_reversion,-1548.7211119452666
2024-07-24,MHK,BUY,161.25,1,0.080625,mean_reversion,-1548.7211119452666
2024-07-25,LEVI,BUY,18.31,1,0.009155,mean_reversion,-1460.870992384494
2024-07-25,MHK,SELL,152.93,1,0.076465,mean_reversion,-1460.870992384494
2024-07-26,LEVI,SELL,17.78,1,0.00889,mean_reversion,-1453.1648415458296
2024-07-26,MHK,BUY,151.7,1,0.07585,mean_reversion,-1453.1648415458296
2024-07-29,LEVI,BUY,17.49,1,0.008745,mean_reversion,-1458.228883525523
2024-07-29,MHK,SELL,151.87,1,0.075935,mean_reversion,-1458.228883525523
2024-07-30,LEVI,SELL,17.48,1,0.00874,mean_reversion,-1227.2645341038428
2024-07-30,MHK,BUY,130.88,1,0.06544,mean_reversion,-1227.2645341038428
2024-07-31,LEVI,SELL,17.66,1,0.00883,trend_following,-1234.4202455968884
2024-07-31,MHK,BUY,131.71,1,0.065855,trend_following,-1234.4202455968884
2024-08-28,LEVI,BUY,17.11,1,0.008555,trend_following,-1387.1121200715647
2024-08-28,MHK,SELL,145.03,1,0.072515,trend_following,-1387.1121200715647
2024-08-29,LEVI,BUY,16.78,1,0.00839,mean_reversion,-1334.4901186303998
2024-08-29,MHK,SELL,139.92,1,0.06996,mean_reversion,-1334.4901186303998
2024-08-30,LEVI,SELL,16.91,1,0.008455,mean_reversion,-1324.0317710636414
2024-08-30,MHK,BUY,139.1,1,0.06955,mean_reversion,-1324.0317710636414
2024-09-02,LEVI,BUY,17.46,1,0.00873,mean_reversion,-1315.004565795492
2024-09-02,MHK,SELL,138.83,1,0.069415,mean_reversion,-1315.004565795492
2024-09-03,LEVI,SELL,18.18,1,0.00909,mean_reversion,-1279.5562719376362
2024-09-03,MHK,BUY,136.33,1,0.068165,mean_reversion,-1279.5562719376362
2024-09-04,LEVI,SELL,18.4,1,0.0092,trend_following,-1267.2264305957733
2024-09-04,MHK,BUY,135.43,1,0.067715,trend_following,-1267.2264305957733
2024-09-05,LEVI,BUY,18.49,1,0.009245,trend_following,-1219.88864687255
2024-09-05,MHK,SELL,131.22,1,0.06561,trend_following,-1219.88864687255
2024-09-06,LEVI,BUY,17.9,1,0.00895,mean_reversion,-1228.695676402452
2024-09-06,MHK,SELL,131.43,1,0.065715,mean_reversion,-1228.695676402452
2024-09-09,LEVI,SELL,17.77,1,0.008885,mean_reversion,-1224.5123373757483
2024-09-09,MHK,BUY,130.92,1,0.0654599999999999,mean_reversion,-1224.5123373757483
2024-09-10,LEVI,BUY,17.55,1,0.008775,mean_reversion,-1249.5022836668456
2024-09-10,MHK,SELL,132.97,1,0.066485,mean_reversion,-1249.5022836668456
2024-09-11,LEVI,SELL,17.43,1,0.008715,mean_reversion,-1228.8057642715758
2024-09-11,MHK,BUY,130.97,1,0.065485,mean_reversion,-1228.8057642715758
2024-09-12,LEVI,BUY,17.48,1,0.00874,mean_reversion,-1228.255324925957
2024-09-12,MHK,SELL,130.97,1,0.065485,mean_reversion,-1228.255324925957
2024-09-13,LEVI,SELL,17.37,1,0.008685,mean_reversion,-1223.1912829462633
2024-09-13,MHK,BUY,130.4,1,0.0652,mean_reversion,-1223.1912829462633
2024-09-16,LEVI,BUY,17.3,1,0.00865,mean_reversion,-1195.449139927072
2024-09-16,MHK,SELL,127.81,1,0.063905,mean_reversion,-1195.449139927072
2024-09-17,LEVI,SELL,17.11,1,0.008555,mean_reversion,-1185.4311438368084
2024-09-17,MHK,BUY,126.71,1,0.063355,mean_reversion,-1185.4311438368084
2024-09-18,LEVI,BUY,16.95,1,0.008475,mean_reversion,-1165.06488804891
