date,ticker,action,price,quantity,commission,cash,portfolio_value
2024-07-01,MHK,SELL,156.5,1,0.07825,100096.18947499998,99997.559475
2024-07-08,LEVI,SELL,19.44,1,0.00972,100115.61975499998,100000.60975499998
2024-07-08,MHK,BUY,158.5,1,0.07925,99957.04050499998,99957.04050499998
2024-07-09,LEVI,SELL,19.82,1,0.00991,99976.85059499998,99960.47059499998
2024-07-09,MHK,BUY,154.44,1,0.07722,99822.333375,99920.96337499998
2024-07-16,LEVI,BUY,19.14,1,0.00957,99803.183805,99918.193805
2024-07-16,MHK,SELL,157.3,1,0.07865,99960.405155,99960.405155
2024-07-17,LEVI,BUY,19.04,1,0.0095199999999999,99941.355635,99957.735635
2024-07-17,MHK,SELL,158.18,1,0.07909,100099.456545,100000.826545
2024-07-18,LEVI,SELL,19.32,1,0.00966,100118.766885,100003.756885
2024-07-18,MHK,BUY,159.85,1,0.079925,99958.83696,99958.83696
2024-07-19,LEVI,BUY,18.74,1,0.00937,99940.08758999998,99956.46759
2024-07-19,MHK,SELL,160.96,1,0.08048,100100.96710999998,100002.33711
2024-07-22,LEVI,SELL,18.51,1,0.009255,100119.46785499998,100004.457855
2024-07-22,MHK,BUY,159.2,1,0.0795999999999999,99960.188255,99960.188255
2024-07-23,LEVI,BUY,18.66,1,0.00933,99941.51892499998,99957.898925
2024-07-23,MHK,SELL,161.05,1,0.080525,100102.4884,100003.8584
2024-07-24,LEVI,SELL,18.65,1,0.009325,100121.129075,100006.119075
2024-07-24,MHK,BUY,161.25,1,0.080625,99959.79845,99959.79845
2024-07-25,LEVI,BUY,18.31,1,0.009155,99941.47929499998,99957.859295
2024-07-25,MHK,SELL,152.93,1,0.076465,100094.33282999998,99995.70283
2024-07-26,LEVI,SELL,17.78,1,0.00889,100112.10394,99997.09394
2024-07-26,MHK,BUY,151.7,1,0.07585,99960.32808999998,99960.32808999998
2024-07-29,LEVI,BUY,17.49,1,0.008745,99942.82934499998,99959.20934499998
2024-07-29,MHK,SELL,151.87,1,0.075935,100094.62340999996,99995.99340999998
2024-07-30,LEVI,SELL,17.48,1,0.00874,100112.09466999998,99997.08466999998
2024-07-30,MHK,BUY,130.88,1,0.06544,99981.14922999998,99981.14922999998
2024-07-31,LEVI,SELL,17.66,1,0.00883,99998.80039999998,99982.42039999996
2024-07-31,MHK,BUY,131.71,1,0.065855,99867.02454499998,99965.65454499995
2024-08-28,LEVI,BUY,17.11,1,0.008555,99849.90598999998,99964.91598999998
2024-08-28,MHK,SELL,145.03,1,0.072515,99994.863475,99994.863475
2024-08-29,LEVI,BUY,16.78,1,0.00839,99978.075085,99994.455085
2024-08-29,MHK,SELL,139.92,1,0.06996,100117.925125,100019.295125
2024-08-30,LEVI,SELL,16.91,1,0.008455,100134.82667,100019.81667
2024-08-30,MHK,BUY,139.1,1,0.06955,99995.65712,99995.65712
2024-09-02,LEVI,BUY,17.46,1,0.00873,99978.18839,99994.56839
2024-09-02,MHK,SELL,138.83,1,0.069415,100116.948975,100018.318975
2024-09-03,LEVI,SELL,18.18,1,0.00909,100135.119885,100020.109885
2024-09-03,MHK,BUY,136.33,1,0.068165,99998.72172,99998.72172
2024-09-04,LEVI,SELL,18.4,1,0.0092,100017.11251999998,100000.73251999998
2024-09-04,MHK,BUY,135.43,1,0.067715,99881.61480499998,99980.24480499997
2024-09-05,LEVI,BUY,18.49,1,0.009245,99863.11555999998,99978.12555999996
2024-09-05,MHK,SELL,131.22,1,0.06561,99994.26994999996,99994.26994999996
2024-09-06,LEVI,BUY,17.9,1,0.00895,99976.36099999998,99992.74099999998
2024-09-06,MHK,SELL,131.43,1,0.065715,100107.72528499998,100009.095285
2024-09-09,LEVI,SELL,17.77,1,0.008885,100125.48639999998,100010.4764
2024-09-09,MHK,BUY,130.92,1,0.0654599999999999,99994.50093999998,99994.50093999998
2024-09-10,LEVI,BUY,17.55,1,0.008775,99976.942165,99993.322165
2024-09-10,MHK,SELL,132.97,1,0.066485,100109.84567999998,100011.21568
2024-09-11,LEVI,SELL,17.43,1,0.008715,100127.266965,100012.256965
2024-09-11,MHK,BUY,130.97,1,0.065485,99996.23148,99996.23148
2024-09-12,LEVI,BUY,17.48,1,0.00874,99978.74274,99995.12274
2024-09-12,MHK,SELL,130.97,1,0.065485,100109.647255,100011.017255
2024-09-13,LEVI,SELL,17.37,1,0.008685,100127.00857,100011.99857
2024-09-13,MHK,BUY,130.4,1,0.0652,99996.54336999998,99996.54336999998
2024-09-16,LEVI,BUY,17.3,1,0.00865,99979.23471999998,99995.61471999998
2024-09-16,MHK,SELL,127.81,1,0.063905,100106.98081499996,100008.35081499998
2024-09-17,LEVI,SELL,17.11,1,0.008555,100124.08225999997,100009.07225999996
2024-09-17,MHK,BUY,126.71,1,0.063355,99997.30890499995,99997.30890499995
2024-09-18,LEVI,BUY,16.95,1,0.008475,99980.35042999996,99996.73042999997
2024-09-18,MHK,SELL,124.7,1,0.06235,100104.98807999997,100006.35807999998
2024-09-19,LEVI,SELL,16.79,1,0.008395,100121.76968499996,100006.75968499995
2024-09-19,MHK,BUY,119.1,1,0.05955,100002.61013499997,100002.61013499997
2024-09-20,LEVI,BUY,16.65,1,0.0083249999999999,99985.95180999996,100002.33180999996
2024-09-20,MHK,SELL,116.82,1,0.05841,100102.71339999996,100004.08339999996
2024-09-23,LEVI,SELL,17.39,1,0.008695,100120.09470499997,100005.08470499996
2024-09-23,MHK,BUY,119.16,1,0.05958,100000.87512499996,100000.87512499996
2024-09-24,LEVI,BUY,17.32,1,0.00866,99983.54646499996,99999.92646499995
2024-09-24,MHK,SELL,119.54,1,0.05977,100103.02669499996,100004.39669499996
2024-09-25,LEVI,SELL,17.44,1,0.00872,100120.45797499995,100005.44797499996
2024-09-25,MHK,BUY,120.19,1,0.060095,100000.20787999996,100000.20787999996
2024-09-26,LEVI,BUY,17.47,1,0.008735,99982.72914499998,99999.10914499998
2024-09-26,MHK,SELL,119.66,1,0.05983,100102.32931499998,100003.699315
2024-09-27,LEVI,SELL,17.19,1,0.008595,100119.51071999998,100004.50071999998
2024-09-27,MHK,BUY,118.82,1,0.05941,100000.63130999998,100000.63130999998
2024-09-30,LEVI,BUY,17.34,1,0.00867,99983.28263999998,99999.66263999998
2024-09-30,MHK,SELL,118.54,1,0.05927,100101.76336999996,100003.13336999998
2024-10-01,LEVI,SELL,17.3,1,0.00865,100119.05471999996,100004.04471999998
2024-10-01,MHK,BUY,119.13,1,0.059565,99999.86515499998,99999.86515499998
2024-10-02,LEVI,BUY,17.42,1,0.00871,99982.43644499998,99998.816445
2024-10-02,MHK,SELL,115.92,1,0.05796,100098.298485,99999.668485
2024-10-03,LEVI,SELL,17.61,1,0.008805,100115.89968,100000.88968
2024-10-03,MHK,BUY,117.31,1,0.058655,99998.531025,99998.531025
2024-10-04,LEVI,BUY,17.84,1,0.00892,99980.682105,99997.062105
2024-10-04,MHK,SELL,117.77,1,0.058885,100098.39321999998,99999.76322
2024-10-07,LEVI,SELL,17.67,1,0.008835,100116.05438499998,100001.044385
2024-10-07,MHK,BUY,117.3,1,0.05865,99998.695735,99998.695735
2024-10-08,LEVI,BUY,17.86,1,0.00893,99980.826805,99997.206805
2024-10-08,MHK,SELL,118.28,1,0.05914,100099.047665,100000.417665
2024-10-09,LEVI,SELL,17.62,1,0.00881,100116.658855,100001.648855
2024-10-09,MHK,BUY,118.09,1,0.059045,99998.50981,99998.50981
2024-10-10,LEVI,BUY,17.42,1,0.00871,99981.0811,99997.4611
2024-10-10,MHK,SELL,122.87,1,0.061435,100103.889665,100005.259665
2024-10-11,LEVI,SELL,17.39,1,0.008695,100121.27097,100006.26097
2024-10-11,MHK,BUY,125.58,1,0.06279,99995.62818,99995.62818
2024-10-14,LEVI,BUY,17.72,1,0.00886,99977.89932,99994.27932
2024-10-14,MHK,SELL,130.06,1,0.06503,100107.89429,100009.26429
2024-10-15,LEVI,SELL,17.57,1,0.008785,100125.455505,100010.445505
2024-10-15,MHK,BUY,128.72,1,0.06436,99996.671145,99996.671145
2024-10-16,LEVI,SELL,17.37,1,0.008685,100014.03246,99997.65245999998
2024-10-16,MHK,BUY,129.27,1,0.064635,99884.69782499998,99983.32782499996
2024-10-17,LEVI,BUY,17.54,1,0.00877,99867.149055,99982.15905499998
2024-10-17,MHK,SELL,130.66,1,0.06533,99997.743725,99997.743725
2024-10-18,LEVI,BUY,17.62,1,0.00881,99980.114915,99996.494915
2024-10-18,MHK,SELL,130.62,1,0.06531,100110.669605,100012.039605
2024-10-21,LEVI,SELL,17.81,1,0.008905,100128.4707,100013.4607
2024-10-21,MHK,BUY,130.83,1,0.065415,99997.575285,99997.575285
