date,ticker,action,price,quantity,commission,strategy,zscore
1061,LEVI,SELL,18.48,1,0.00924,mean_reversion,-1177.0644657834014
1061,MHK,BUY,127.32,1,0.06366,mean_reversion,-1177.0644657834014
1062,LEVI,BUY,18.09,1,0.009045000000000001,mean_reversion,-1189.5043949943881
1062,MHK,SELL,128.06,1,0.06403,mean_reversion,-1189.5043949943881
1063,LEVI,SELL,17.5,1,0.00875,mean_reversion,-1186.3118467897987
1063,MHK,BUY,127.18,1,0.06359000000000001,mean_reversion,-1186.3118467897987
1064,LEVI,BUY,17.37,1,0.008685,mean_reversion,-1268.327309287011
1064,MHK,SELL,134.5,1,0.06725,mean_reversion,-1268.327309287011
1065,LEVI,SELL,17.88,1,0.00894,mean_reversion,-1551.2531329351136
1065,MHK,BUY,160.71,1,0.08035500000000001,mean_reversion,-1551.2531329351136
1066,LEVI,BUY,18.31,1,0.009155,mean_reversion,-1568.4268405184223
1066,MHK,SELL,162.7,1,0.08134999999999999,mean_reversion,-1568.4268405184223
1067,LEVI,SELL,18.26,1,0.009130000000000001,mean_reversion,-1562.372007716615
1067,MHK,BUY,162.1,1,0.08105,mean_reversion,-1562.372007716615
1068,LEVI,BUY,18.33,1,0.009165,mean_reversion,-1550.2623421129997
1068,MHK,SELL,161.07,1,0.080535,mean_reversion,-1550.2623421129997
1069,LEVI,SELL,17.87,1,0.008935,mean_reversion,-1504.7960521648802
1069,MHK,BUY,156.48,1,0.07823999999999999,mean_reversion,-1504.7960521648802
1070,LEVI,BUY,17.15,1,0.008575,mean_reversion,-1466.8157373171778
1070,MHK,SELL,152.31,1,0.076155,mean_reversion,-1466.8157373171778
1071,LEVI,SELL,16.95,1,0.008475,mean_reversion,-1410.560836194929
1071,MHK,BUY,147.0,1,0.0735,mean_reversion,-1410.560836194929
1072,LEVI,BUY,17.51,1,0.008755,mean_reversion,-1400.7630158429126
1072,MHK,SELL,146.67,1,0.073335,mean_reversion,-1400.7630158429126
1073,LEVI,SELL,17.18,1,0.00859,mean_reversion,-1368.8375337970178
1073,MHK,BUY,143.44,1,0.07172,mean_reversion,-1368.8375337970178
1074,LEVI,BUY,17.68,1,0.00884,mean_reversion,-1386.341504987698
1074,MHK,SELL,145.53,1,0.072765,mean_reversion,-1386.341504987698
1075,LEVI,SELL,17.52,1,0.00876,mean_reversion,-1398.2309948530658
1075,MHK,BUY,146.45,1,0.073225,mean_reversion,-1398.2309948530658
1076,LEVI,BUY,17.79,1,0.008895,mean_reversion,-1371.369554786865
1076,MHK,SELL,144.28,1,0.07214,mean_reversion,-1371.369554786865
1077,LEVI,SELL,18.25,1,0.009125,mean_reversion,-1394.9283587793527
1077,MHK,BUY,146.88,1,0.07344,mean_reversion,-1394.9283587793527
1078,LEVI,BUY,18.06,1,0.00903,mean_reversion,-1365.6449855924284
1078,MHK,SELL,144.03,1,0.072015,mean_reversion,-1365.6449855924284
1079,LEVI,SELL,18.81,1,0.009405,mean_reversion,-1386.891944333317
1079,MHK,BUY,146.71,1,0.073355,mean_reversion,-1386.891944333317
1080,LEVI,BUY,18.99,1,0.009495,mean_reversion,-1381.7178144844995
1080,MHK,SELL,146.42,1,0.07321,mean_reversion,-1381.7178144844995
1081,LEVI,SELL,19.36,1,0.00968,mean_reversion,-1410.2305725875572
1081,MHK,BUY,149.38,1,0.07468999999999999,mean_reversion,-1410.2305725875572
1082,LEVI,BUY,18.98,1,0.00949,mean_reversion,-1397.4603797691996
1082,MHK,SELL,147.84,1,0.07392,mean_reversion,-1397.4603797691996
1083,LEVI,SELL,19.29,1,0.009644999999999999,mean_reversion,-1421.3494473690587
1083,MHK,BUY,150.32,1,0.07516,mean_reversion,-1421.3494473690587
1084,LEVI,BUY,18.94,1,0.009470000000000001,mean_reversion,-1420.3586565469448
1084,MHK,SELL,149.88,1,0.07493999999999999,mean_reversion,-1420.3586565469448
1085,LEVI,SELL,19.5,1,0.00975,mean_reversion,-1500.8328888764245
1085,MHK,BUY,157.75,1,0.078875,mean_reversion,-1500.8328888764245
1086,LEVI,BUY,18.99,1,0.009495,mean_reversion,-1477.6043484913077
1086,MHK,SELL,155.13,1,0.077565,mean_reversion,-1477.6043484913077
1087,LEVI,SELL,19.3,1,0.00965,mean_reversion,-1462.5223104213505
1087,MHK,BUY,154.07,1,0.07703499999999999,mean_reversion,-1462.5223104213505
1088,LEVI,BUY,18.82,1,0.00941,mean_reversion,-1472.9806579881092
1088,MHK,SELL,154.54,1,0.07726999999999999,mean_reversion,-1472.9806579881092
1089,LEVI,SELL,19.04,1,0.009519999999999999,mean_reversion,-1461.0911681227417
1089,MHK,BUY,153.68,1,0.07684,mean_reversion,-1461.0911681227417
1090,LEVI,BUY,19.27,1,0.009635,mean_reversion,-1474.6319760249658
1090,MHK,SELL,155.14,1,0.07757,mean_reversion,-1474.6319760249658
1091,LEVI,SELL,19.2,1,0.0096,mean_reversion,-1428.0648073856091
1091,MHK,BUY,150.84,1,0.07542,mean_reversion,-1428.0648073856091
1092,LEVI,BUY,19.08,1,0.00954,mean_reversion,-1427.0740165634952
1092,MHK,SELL,150.63,1,0.075315,mean_reversion,-1427.0740165634952
1093,LEVI,SELL,18.83,1,0.009415,mean_reversion,-1408.909518158072
1093,MHK,BUY,148.73,1,0.074365,mean_reversion,-1408.909518158072
1094,LEVI,BUY,18.61,1,0.009305,mean_reversion,-1402.4143338797694
1094,MHK,SELL,147.92,1,0.07396,mean_reversion,-1402.4143338797694
1095,LEVI,SELL,18.83,1,0.009415,mean_reversion,-1413.4231207921468
1095,MHK,BUY,149.14,1,0.07457,mean_reversion,-1413.4231207921468
1096,LEVI,BUY,19.23,1,0.009615,mean_reversion,-1416.945932604108
1096,MHK,SELL,149.86,1,0.07493000000000001,mean_reversion,-1416.945932604108
1097,LEVI,SELL,19.29,1,0.009644999999999999,mean_reversion,-1399.9924007590464
1097,MHK,BUY,148.38,1,0.07419,mean_reversion,-1399.9924007590464
1098,LEVI,BUY,19.24,1,0.00962,mean_reversion,-1419.257777855707
1098,MHK,SELL,150.08,1,0.07504000000000001,mean_reversion,-1419.257777855707
1099,LEVI,SELL,19.93,1,0.009965,mean_reversion,-1482.8885662092491
1099,MHK,BUY,156.55,1,0.07827500000000001,mean_reversion,-1482.8885662092491
1100,LEVI,BUY,19.48,1,0.00974,mean_reversion,-1479.8061058737835
1100,MHK,SELL,155.82,1,0.07791,mean_reversion,-1479.8061058737835
1101,LEVI,SELL,19.7,1,0.00985,mean_reversion,-1467.806528139292
1101,MHK,BUY,154.95,1,0.077475,mean_reversion,-1467.806528139292
1102,LEVI,SELL,19.78,1,0.009890000000000001,trend_following,-1485.2004114608485
1102,MHK,BUY,156.61,1,0.07830500000000001,trend_following,-1485.2004114608485
1103,LEVI,BUY,19.92,1,0.009960000000000002,trend_following,-1500.8328888764245
1103,MHK,SELL,158.17,1,0.07908499999999999,trend_following,-1500.8328888764245
1104,LEVI,BUY,20.16,1,0.01008,mean_reversion,-1491.9157714773987
1104,MHK,SELL,157.6,1,0.0788,mean_reversion,-1491.9157714773987
1105,LEVI,SELL,20.42,1,0.01021,mean_reversion,-1492.4662108230177
1105,MHK,BUY,157.91,1,0.078955,mean_reversion,-1492.4662108230177
1106,LEVI,BUY,20.68,1,0.01034,mean_reversion,-1480.4666330885261
1106,MHK,SELL,157.08,1,0.07854000000000001,mean_reversion,-1480.4666330885261
1107,LEVI,SELL,20.88,1,0.01044,mean_reversion,-1448.1007995661362
1107,MHK,BUY,154.34,1,0.07717,mean_reversion,-1448.1007995661362
1108,LEVI,BUY,21.46,1,0.01073,trend_following,-1465.4946828876925
1108,MHK,SELL,156.5,1,0.07825,trend_following,-1465.4946828876925
1113,LEVI,SELL,19.44,1,0.009720000000000001,trend_following,-1509.7500062754502
1113,MHK,BUY,158.5,1,0.07925,trend_following,-1509.7500062754502
1114,LEVI,SELL,19.82,1,0.00991,trend_following,-1460.870992384494
1114,MHK,BUY,154.44,1,0.07722,trend_following,-1460.870992384494
1119,LEVI,BUY,19.14,1,0.00957,trend_following,-1499.8420980543108
1119,MHK,SELL,157.3,1,0.07865000000000001,trend_following,-1499.8420980543108
1120,LEVI,BUY,19.04,1,0.009519999999999999,mean_reversion,-1510.6307092284405
1120,MHK,SELL,158.18,1,0.07909000000000001,mean_reversion,-1510.6307092284405
1121,LEVI,SELL,19.32,1,0.00966,mean_reversion,-1525.9329230366452
1121,MHK,BUY,159.85,1,0.079925,mean_reversion,-1525.9329230366452
1122,LEVI,BUY,18.74,1,0.00937,mean_reversion,-1544.5377729185632
1122,MHK,SELL,160.96,1,0.08048000000000001,mean_reversion,-1544.5377729185632
1123,LEVI,SELL,18.51,1,0.009255000000000001,mean_reversion,-1527.6943289426256
1123,MHK,BUY,159.2,1,0.07959999999999999,mean_reversion,-1527.6943289426256
1124,LEVI,BUY,18.66,1,0.00933,mean_reversion,-1546.4092666936676
1124,MHK,SELL,161.05,1,0.08052500000000001,mean_reversion,-1546.4092666936676
1125,LEVI,SELL,18.65,1,0.009325,mean_reversion,-1548.7211119452666
1125,MHK,BUY,161.25,1,0.080625,mean_reversion,-1548.7211119452666
1126,LEVI,BUY,18.31,1,0.009155,mean_reversion,-1460.870992384494
1126,MHK,SELL,152.93,1,0.076465,mean_reversion,-1460.870992384494
1127,LEVI,SELL,17.78,1,0.00889,mean_reversion,-1453.1648415458296
1127,MHK,BUY,151.7,1,0.07585,mean_reversion,-1453.1648415458296
1128,LEVI,BUY,17.49,1,0.008745,mean_reversion,-1458.2288835255233
1128,MHK,SELL,151.87,1,0.075935,mean_reversion,-1458.2288835255233
1129,LEVI,SELL,17.48,1,0.008740000000000001,mean_reversion,-1227.2645341038428
1129,MHK,BUY,130.88,1,0.06544,mean_reversion,-1227.2645341038428
1130,LEVI,SELL,17.66,1,0.008830000000000001,trend_following,-1234.4202455968884
1130,MHK,BUY,131.71,1,0.06585500000000001,trend_following,-1234.4202455968884
1150,LEVI,BUY,17.11,1,0.008555,trend_following,-1387.1121200715647
1150,MHK,SELL,145.03,1,0.072515,trend_following,-1387.1121200715647
1151,LEVI,BUY,16.78,1,0.00839,mean_reversion,-1334.4901186303998
1151,MHK,SELL,139.92,1,0.06996,mean_reversion,-1334.4901186303998
