date,ticker,action,price,quantity,commission,cash,portfolio_value
1079,LEVI,SELL,18.81,1,0.009405,100114.01306000001,99999.00306000002
1079,MHK,BUY,146.71,1,0.073355,99967.229705,99967.229705
1080,LEVI,BUY,18.99,1,0.009495,99948.23021000001,99964.61021000001
1080,MHK,SELL,146.42,1,0.07321,100094.577,99995.94700000001
1081,LEVI,SELL,19.36,1,0.00968,100113.92732,99998.91732000001
1081,MHK,BUY,149.38,1,0.07468999999999999,99964.47263,99964.47263
1082,LEVI,BUY,18.98,1,0.00949,99945.48314,99961.86314
1082,MHK,SELL,147.84,1,0.07392,100093.24922,99994.61922000001
1083,LEVI,SELL,19.29,1,0.009644999999999999,100112.529575,99997.519575
1083,MHK,BUY,150.32,1,0.07516,99962.134415,99962.134415
1084,LEVI,BUY,18.94,1,0.009470000000000001,99943.18494499999,99959.56494499999
1084,MHK,SELL,149.88,1,0.07493999999999999,100092.99000499999,99994.360005
1085,LEVI,SELL,19.5,1,0.00975,100112.48025499999,99997.470255
1085,MHK,BUY,157.75,1,0.078875,99954.65137999998,99954.65137999998
1086,LEVI,BUY,18.99,1,0.009495,99935.65188499998,99952.03188499999
1086,MHK,SELL,155.13,1,0.077565,100090.70431999999,99992.07432
1087,LEVI,SELL,19.3,1,0.00965,100109.99466999999,99994.98466999999
1087,MHK,BUY,154.07,1,0.07703499999999999,99955.84763499998,99955.84763499998
1088,LEVI,BUY,18.82,1,0.00941,99937.01822499998,99953.39822499998
1088,MHK,SELL,154.54,1,0.07726999999999999,100091.48095499998,99992.85095499999
1089,LEVI,SELL,19.04,1,0.009519999999999999,100110.51143499998,99995.50143499998
1089,MHK,BUY,153.68,1,0.07684,99956.75459499998,99956.75459499998
1090,LEVI,BUY,19.27,1,0.009635,99937.47495999998,99953.85495999998
1090,MHK,SELL,155.14,1,0.07757,100092.53738999998,99993.90739
1091,LEVI,SELL,19.2,1,0.0096,100111.72778999999,99996.71779
1091,MHK,BUY,150.84,1,0.07542,99960.81236999999,99960.81236999999
1092,LEVI,BUY,19.08,1,0.00954,99941.72282999998,99958.10282999999
1092,MHK,SELL,150.63,1,0.075315,100092.27751499998,99993.64751499999
1093,LEVI,SELL,18.83,1,0.009415,100111.09809999997,99996.08809999998
1093,MHK,BUY,148.73,1,0.074365,99962.29373499997,99962.29373499997
1094,LEVI,BUY,18.61,1,0.009305,99943.67442999997,99960.05442999997
1094,MHK,SELL,147.92,1,0.07396,100091.52046999997,99992.89046999998
1095,LEVI,SELL,18.83,1,0.009415,100110.34105499997,99995.33105499997
1095,MHK,BUY,149.14,1,0.07457,99961.12648499997,99961.12648499997
1096,LEVI,BUY,19.23,1,0.009615,99941.88686999997,99958.26686999998
1096,MHK,SELL,149.86,1,0.07493000000000001,100091.67193999997,99993.04193999998
1097,LEVI,SELL,19.29,1,0.009644999999999999,100110.95229499997,99995.94229499997
1097,MHK,BUY,148.38,1,0.07419,99962.49810499996,99962.49810499996
1098,LEVI,BUY,19.24,1,0.00962,99943.24848499996,99959.62848499996
1098,MHK,SELL,150.08,1,0.07504000000000001,100093.25344499997,99994.62344499998
1099,LEVI,SELL,19.93,1,0.009965,100113.17347999997,99998.16347999997
1099,MHK,BUY,156.55,1,0.07827500000000001,99956.54520499997,99956.54520499997
1100,LEVI,BUY,19.48,1,0.00974,99937.05546499997,99953.43546499997
1100,MHK,SELL,155.82,1,0.07791,100092.79755499997,99994.16755499998
1101,LEVI,SELL,19.7,1,0.00985,100112.48770499996,99997.47770499997
1101,MHK,BUY,154.95,1,0.077475,99957.46022999997,99957.46022999997
1102,LEVI,SELL,19.78,1,0.009890000000000001,99977.23033999997,99960.85033999996
1102,MHK,BUY,156.61,1,0.07830500000000001,99820.54203499996,99919.17203499995
1103,LEVI,BUY,19.92,1,0.009960000000000002,99800.61207499997,99915.62207499996
1103,MHK,SELL,158.17,1,0.07908499999999999,99958.70298999996,99958.70298999996
1104,LEVI,BUY,20.16,1,0.01008,99938.53290999997,99954.91290999997
1104,MHK,SELL,157.6,1,0.0788,100096.05410999997,99997.42410999998
1105,LEVI,SELL,20.42,1,0.01021,100116.46389999997,100001.45389999998
1105,MHK,BUY,157.91,1,0.078955,99958.47494499998,99958.47494499998
1106,LEVI,BUY,20.68,1,0.01034,99937.78460499998,99954.16460499998
1106,MHK,SELL,157.08,1,0.07854000000000001,100094.78606499998,99996.15606499999
1107,LEVI,SELL,20.88,1,0.01044,100115.65562499998,100000.64562499999
1107,MHK,BUY,154.34,1,0.07717,99961.23845499998,99961.23845499998
1108,LEVI,BUY,21.46,1,0.01073,99939.76772499998,99956.14772499999
1108,MHK,SELL,156.5,1,0.07825,100096.18947499998,99997.55947499999
1113,LEVI,SELL,19.44,1,0.009720000000000001,100115.61975499998,100000.60975499998
1113,MHK,BUY,158.5,1,0.07925,99957.04050499998,99957.04050499998
1114,LEVI,SELL,19.82,1,0.00991,99976.85059499998,99960.47059499998
1114,MHK,BUY,154.44,1,0.07722,99822.33337499999,99920.96337499998
1119,LEVI,BUY,19.14,1,0.00957,99803.183805,99918.19380499999
1119,MHK,SELL,157.3,1,0.07865000000000001,99960.405155,99960.405155
1120,LEVI,BUY,19.04,1,0.009519999999999999,99941.355635,99957.735635
1120,MHK,SELL,158.18,1,0.07909000000000001,100099.456545,100000.826545
1121,LEVI,SELL,19.32,1,0.00966,100118.76688499999,100003.756885
1121,MHK,BUY,159.85,1,0.079925,99958.83695999999,99958.83695999999
1122,LEVI,BUY,18.74,1,0.00937,99940.08758999998,99956.46758999999
1122,MHK,SELL,160.96,1,0.08048000000000001,100100.96710999998,100002.33711
1123,LEVI,SELL,18.51,1,0.009255000000000001,100119.46785499998,100004.45785499999
1123,MHK,BUY,159.2,1,0.07959999999999999,99960.18825499999,99960.18825499999
1124,LEVI,BUY,18.66,1,0.00933,99941.51892499998,99957.89892499999
1124,MHK,SELL,161.05,1,0.08052500000000001,100102.48839999999,100003.8584
1125,LEVI,SELL,18.65,1,0.009325,100121.12907499999,100006.119075
1125,MHK,BUY,161.25,1,0.080625,99959.79844999999,99959.79844999999
1126,LEVI,BUY,18.31,1,0.009155,99941.47929499998,99957.85929499999
1126,MHK,SELL,152.93,1,0.076465,100094.33282999998,99995.70283
1127,LEVI,SELL,17.78,1,0.00889,100112.10393999999,99997.09393999999
1127,MHK,BUY,151.7,1,0.07585,99960.32808999998,99960.32808999998
1128,LEVI,BUY,17.49,1,0.008745,99942.82934499998,99959.20934499998
1128,MHK,SELL,151.87,1,0.075935,100094.62340999997,99995.99340999998
1129,LEVI,SELL,17.48,1,0.008740000000000001,100112.09466999998,99997.08466999998
1129,MHK,BUY,130.88,1,0.06544,99981.14922999998,99981.14922999998
1130,LEVI,SELL,17.66,1,0.008830000000000001,99998.80039999998,99982.42039999997
1130,MHK,BUY,131.71,1,0.06585500000000001,99867.02454499998,99965.65454499997
1150,LEVI,BUY,17.11,1,0.008555,99849.90598999998,99964.91598999998
1150,MHK,SELL,145.03,1,0.072515,99994.86347499999,99994.86347499999
1151,LEVI,BUY,16.78,1,0.00839,99978.07508499999,99994.455085
1151,MHK,SELL,139.92,1,0.06996,100117.925125,100019.295125
1152,LEVI,SELL,16.91,1,0.008455,100134.82667,100019.81667
1152,MHK,BUY,139.1,1,0.06955,99995.65711999999,99995.65711999999
1153,LEVI,BUY,17.46,1,0.00873,99978.18839,99994.56839
1153,MHK,SELL,138.83,1,0.069415,100116.94897499999,100018.318975
1154,LEVI,SELL,18.18,1,0.00909,100135.119885,100020.109885
1154,MHK,BUY,136.33,1,0.068165,99998.72171999999,99998.72171999999
1155,LEVI,SELL,18.4,1,0.0092,100017.11251999998,100000.73251999998
1155,MHK,BUY,135.43,1,0.06771500000000001,99881.61480499998,99980.24480499997
1156,LEVI,BUY,18.49,1,0.009245,99863.11555999998,99978.12555999997
1156,MHK,SELL,131.22,1,0.06561,99994.26994999997,99994.26994999997
1157,LEVI,BUY,17.9,1,0.00895,99976.36099999998,99992.74099999998
1157,MHK,SELL,131.43,1,0.06571500000000001,100107.72528499998,100009.09528499999
1158,LEVI,SELL,17.77,1,0.008885,100125.48639999998,100010.47639999999
1158,MHK,BUY,130.92,1,0.06545999999999999,99994.50093999998,99994.50093999998
1159,LEVI,BUY,17.55,1,0.008775,99976.94216499999,99993.32216499999
1159,MHK,SELL,132.97,1,0.066485,100109.84567999998,100011.21568
1160,LEVI,SELL,17.43,1,0.008715,100127.26696499999,100012.256965
1160,MHK,BUY,130.97,1,0.065485,99996.23147999999,99996.23147999999
1161,LEVI,BUY,17.48,1,0.008740000000000001,99978.74273999999,99995.12273999999
1161,MHK,SELL,130.97,1,0.065485,100109.64725499999,100011.017255
1162,LEVI,SELL,17.37,1,0.008685,100127.00856999999,100011.99857
1162,MHK,BUY,130.4,1,0.06520000000000001,99996.54336999998,99996.54336999998
1163,LEVI,BUY,17.3,1,0.00865,99979.23471999998,99995.61471999998
1163,MHK,SELL,127.81,1,0.063905,100106.98081499997,100008.35081499998
1164,LEVI,SELL,17.11,1,0.008555,100124.08225999997,100009.07225999997
1164,MHK,BUY,126.71,1,0.063355,99997.30890499997,99997.30890499997
1165,LEVI,BUY,16.95,1,0.008475,99980.35042999996,99996.73042999997
1165,MHK,SELL,124.7,1,0.06235,100104.98807999997,100006.35807999998
1166,LEVI,SELL,16.79,1,0.008395,100121.76968499996,100006.75968499997
1166,MHK,BUY,119.1,1,0.05955,100002.61013499997,100002.61013499997
1167,LEVI,BUY,16.65,1,0.008324999999999999,99985.95180999997,100002.33180999997
